instant_x,dteday,season_x,yr_x,mnth_x,hr,holiday_x,weekday_x,workingday_x,weathersit_x,temp_x,atemp_x,hum_x,windspeed_x,casual_x,registered_x,cnt_x,instant_y,season_y,yr_y,mnth_y,holiday_y,weekday_y,workingday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,cnt_y,total_users,temp_celsius,humidity_percent,windspeed_kmh
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,16,9.84,81.0,0.0
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,40,9.02,80.0,0.0
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,32,9.02,80.0,0.0
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,13,9.84,75.0,0.0
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,1,9.84,75.0,0.0
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,1,9.84,75.0,6.0032
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2,9.02,80.0,0.0
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,3,8.200000000000001,86.0,0.0
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8,9.84,75.0,0.0
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,14,13.120000000000001,76.0,0.0
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,36,15.58,76.0,16.997899999999998
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,56,14.76,81.0,19.0012
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,84,17.22,77.0,19.0012
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,94,18.86,72.0,19.999499999999998
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,106,18.86,72.0,19.0012
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,110,18.04,77.0,19.999499999999998
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,93,17.22,82.0,19.999499999999998
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,67,18.04,82.0,19.0012
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,35,17.22,88.0,16.997899999999998
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,37,17.22,88.0,16.997899999999998
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,36,16.400000000000002,87.0,16.997899999999998
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,34,16.400000000000002,87.0,12.998000000000001
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,28,16.400000000000002,94.0,15.001299999999999
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,39,18.86,88.0,19.999499999999998
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,17,18.86,88.0,19.999499999999998
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,17,18.04,94.0,16.997899999999998
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,9,17.22,100.0,19.0012
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,6,18.86,94.0,12.998000000000001
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,3,18.86,94.0,12.998000000000001
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,2,17.22,77.0,19.999499999999998
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,1,16.400000000000002,76.0,12.998000000000001
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,8,16.400000000000002,71.0,15.001299999999999
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,20,15.58,76.0,15.001299999999999
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,53,14.76,81.0,15.001299999999999
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,70,14.76,71.0,16.997899999999998
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,93,14.76,66.0,19.999499999999998
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,75,14.76,66.0,8.9981
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,59,14.76,76.0,12.998000000000001
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,74,13.940000000000001,81.0,11.0014
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,76,13.940000000000001,71.0,11.0014
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,65,13.940000000000001,56.99999999999999,12.998000000000001
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,53,14.76,46.0,22.0028
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,30,13.120000000000001,42.0,30.002599999999997
